TGS2600,TGS2603,TGS2602,TGS2620,TGS832A,Label
20.0,44.0,22.0,13.0,81.0,Breath
20.0,44.0,22.0,14.0,88.0,Breath
20.0,45.0,24.0,13.0,93.0,Breath
20.0,45.0,24.0,12.0,97.0,Breath
21.0,45.0,25.0,12.0,102.0,Breath
21.0,45.0,25.0,12.0,101.0,Breath
22.0,44.0,25.0,11.0,95.0,Breath
21.0,43.0,24.0,11.0,88.0,Breath
20.0,42.0,23.0,11.0,82.0,Breath
20.0,41.0,23.0,11.0,80.0,Breath
19.0,40.0,23.0,13.0,91.0,Breath
19.0,39.0,23.0,16.0,105.0,Breath
19.0,39.0,23.0,18.0,115.0,Breath
19.0,38.0,23.0,21.0,118.0,Breath
19.0,39.0,24.0,20.0,115.0,Breath
20.0,40.0,25.0,18.0,110.0,Breath
20.0,42.0,26.0,16.0,105.0,Breath
20.0,43.0,28.0,15.0,99.0,Breath
20.0,44.0,28.0,16.0,100.0,Breath
20.0,44.0,28.0,18.0,106.0,Breath
20.0,44.0,28.0,18.0,111.0,Breath
20.0,43.0,28.0,16.0,114.0,Breath
21.0,43.0,27.0,14.0,110.0,Breath
21.0,43.0,27.0,13.0,102.0,Breath
21.0,42.0,26.0,12.0,94.0,Breath
21.0,41.0,25.0,14.0,90.0,Breath
21.0,41.0,24.0,17.0,92.0,Breath
21.0,41.0,24.0,19.0,96.0,Breath
22.0,41.0,24.0,18.0,102.0,Breath
23.0,42.0,24.0,17.0,110.0,Breath
23.0,42.0,24.0,16.0,113.0,Breath
24.0,43.0,24.0,14.0,107.0,Breath
24.0,43.0,23.0,13.0,98.0,Breath
23.0,43.0,23.0,12.0,91.0,Breath
23.0,43.0,22.0,12.0,90.0,Breath
23.0,43.0,22.0,11.0,93.0,Breath
24.0,44.0,23.0,11.0,96.0,Breath
24.0,44.0,23.0,11.0,95.0,Breath
25.0,43.0,23.0,10.0,90.0,Breath
24.0,43.0,22.0,10.0,85.0,Breath
24.0,42.0,21.0,10.0,80.0,Breath
23.0,41.0,21.0,9.0,75.0,Breath
22.0,40.0,20.0,9.0,71.0,Breath
22.0,38.0,19.0,10.0,68.0,Breath
21.0,37.0,19.0,11.0,70.0,Breath
21.0,36.0,18.0,12.0,77.0,Breath
21.0,35.0,18.0,11.0,84.0,Breath
20.0,35.0,18.0,11.0,91.0,Breath
20.0,34.0,18.0,10.0,92.0,Breath
20.0,33.0,17.0,9.0,87.0,Breath
19.0,32.0,17.0,9.0,81.0,Breath
19.0,31.0,16.0,9.0,76.0,Breath
18.0,31.0,16.0,11.0,76.0,Breath
18.0,32.0,17.0,13.0,85.0,Breath
18.0,33.0,19.0,13.0,91.0,Breath
19.0,35.0,20.0,11.0,90.0,Breath
19.0,35.0,20.0,11.0,85.0,Breath
19.0,35.0,20.0,10.0,80.0,Breath
18.0,35.0,20.0,10.0,75.0,Breath
18.0,35.0,19.0,10.0,76.0,Breath
19.0,35.0,19.0,12.0,81.0,Breath
19.0,34.0,19.0,11.0,81.0,Breath
18.0,34.0,19.0,13.0,80.0,Breath
18.0,34.0,18.0,14.0,81.0,Breath
18.0,34.0,18.0,15.0,80.0,Breath
18.0,33.0,18.0,15.0,79.0,Breath
18.0,32.0,17.0,15.0,78.0,Breath
18.0,32.0,17.0,15.0,77.0,Breath
18.0,33.0,17.0,16.0,79.0,Breath
18.0,33.0,17.0,14.0,80.0,Breath
18.0,33.0,17.0,12.0,77.0,Breath
17.0,32.0,17.0,11.0,73.0,Breath
17.0,32.0,17.0,10.0,69.0,Breath
17.0,32.0,16.0,12.0,66.0,Breath
16.0,31.0,16.0,15.0,66.0,Breath
16.0,30.0,16.0,17.0,68.0,Breath
16.0,30.0,16.0,17.0,70.0,Breath
16.0,29.0,15.0,15.0,69.0,Breath
16.0,29.0,15.0,13.0,66.0,Breath
16.0,28.0,15.0,11.0,63.0,Breath
15.0,29.0,15.0,11.0,60.0,Breath
16.0,31.0,16.0,11.0,58.0,Breath
16.0,34.0,18.0,11.0,59.0,Breath
17.0,39.0,20.0,12.0,63.0,Breath
18.0,42.0,22.0,13.0,65.0,Breath
19.0,47.0,25.0,13.0,65.0,Breath
20.0,53.0,28.0,13.0,66.0,Breath
20.0,57.0,32.0,12.0,67.0,Breath
21.0,62.0,35.0,12.0,66.0,Breath
21.0,65.0,37.0,11.0,65.0,Breath
22.0,67.0,39.0,11.0,64.0,Breath
21.0,68.0,40.0,10.0,63.0,Breath
22.0,69.0,41.0,11.0,63.0,Breath
22.0,69.0,41.0,12.0,69.0,Breath
22.0,68.0,40.0,13.0,70.0,Breath
22.0,66.0,39.0,13.0,70.0,Breath
22.0,64.0,37.0,13.0,69.0,Breath
21.0,62.0,36.0,12.0,67.0,Breath
21.0,60.0,35.0,11.0,64.0,Breath
21.0,58.0,34.0,10.0,61.0,Breath
20.0,56.0,33.0,9.0,58.0,Breath
20.0,54.0,31.0,9.0,56.0,Breath
19.0,52.0,31.0,9.0,54.0,Breath
19.0,51.0,30.0,9.0,59.0,Breath
19.0,50.0,29.0,10.0,61.0,Breath
19.0,49.0,28.0,12.0,60.0,Breath
19.0,48.0,27.0,13.0,60.0,Breath
19.0,46.0,26.0,13.0,59.0,Breath
18.0,45.0,25.0,12.0,57.0,Breath
18.0,44.0,24.0,11.0,55.0,Breath
18.0,42.0,23.0,10.0,53.0,Breath
17.0,42.0,23.0,10.0,51.0,Breath
17.0,43.0,23.0,9.0,50.0,Breath
17.0,43.0,23.0,11.0,55.0,Breath
17.0,45.0,24.0,11.0,57.0,Breath
17.0,48.0,24.0,12.0,58.0,Breath
18.0,50.0,26.0,12.0,59.0,Breath
18.0,53.0,27.0,11.0,59.0,Breath
19.0,54.0,28.0,10.0,58.0,Breath
19.0,54.0,28.0,10.0,57.0,Breath
19.0,54.0,28.0,10.0,57.0,Breath
19.0,55.0,28.0,12.0,63.0,Breath
20.0,55.0,28.0,14.0,73.0,Breath
21.0,56.0,28.0,16.0,81.0,Breath
23.0,56.0,27.0,18.0,88.0,Breath
24.0,56.0,27.0,18.0,92.0,Breath
24.0,55.0,26.0,14.0,88.0,Breath
24.0,54.0,26.0,13.0,83.0,Breath
23.0,54.0,26.0,12.0,78.0,Breath
22.0,54.0,26.0,15.0,77.0,Breath
22.0,52.0,25.0,20.0,83.0,Breath
22.0,51.0,25.0,23.0,91.0,Breath
21.0,51.0,25.0,26.0,97.0,Breath
21.0,51.0,25.0,27.0,100.0,Breath
21.0,52.0,26.0,28.0,105.0,Breath
22.0,55.0,26.0,27.0,108.0,Breath
22.0,57.0,27.0,21.0,104.0,Breath
22.0,57.0,27.0,17.0,97.0,Breath
22.0,56.0,27.0,14.0,90.0,Breath
22.0,55.0,26.0,13.0,84.0,Breath
21.0,53.0,25.0,18.0,79.0,Breath
21.0,52.0,25.0,21.0,78.0,Breath
20.0,50.0,24.0,24.0,78.0,Breath
20.0,49.0,23.0,21.0,78.0,Breath
20.0,48.0,23.0,17.0,76.0,Breath
20.0,46.0,22.0,15.0,72.0,Breath
19.0,45.0,21.0,13.0,68.0,Breath
19.0,43.0,21.0,12.0,65.0,Breath
19.0,42.0,20.0,16.0,62.0,Breath
18.0,41.0,20.0,20.0,61.0,Breath
18.0,40.0,19.0,21.0,60.0,Breath
18.0,39.0,19.0,20.0,60.0,Breath
18.0,38.0,18.0,17.0,59.0,Breath
18.0,37.0,18.0,15.0,57.0,Breath
18.0,36.0,18.0,13.0,54.0,Breath
17.0,37.0,17.0,12.0,52.0,Breath
17.0,37.0,17.0,12.0,50.0,Breath
17.0,37.0,17.0,13.0,51.0,Breath
17.0,38.0,17.0,16.0,55.0,Breath
18.0,37.0,17.0,18.0,57.0,Breath
18.0,37.0,16.0,20.0,61.0,Breath
18.0,37.0,16.0,22.0,65.0,Breath
19.0,37.0,17.0,20.0,68.0,Breath
20.0,37.0,17.0,16.0,68.0,Breath
19.0,37.0,16.0,14.0,65.0,Breath
19.0,36.0,16.0,14.0,62.0,Breath
19.0,35.0,16.0,17.0,61.0,Breath
18.0,35.0,16.0,24.0,62.0,Breath
18.0,34.0,15.0,29.0,62.0,Breath
18.0,33.0,15.0,24.0,63.0,Breath
17.0,32.0,15.0,19.0,63.0,Breath
17.0,32.0,14.0,16.0,61.0,Breath
17.0,31.0,14.0,14.0,60.0,Breath
16.0,31.0,14.0,13.0,58.0,Breath
16.0,30.0,14.0,13.0,55.0,Breath
16.0,30.0,14.0,14.0,55.0,Breath
16.0,29.0,14.0,18.0,59.0,Breath
16.0,29.0,14.0,21.0,65.0,Breath
16.0,29.0,14.0,24.0,69.0,Breath
15.0,28.0,14.0,26.0,74.0,Breath
15.0,28.0,14.0,23.0,81.0,Breath
15.0,28.0,14.0,20.0,86.0,Breath
15.0,27.0,14.0,16.0,83.0,Breath
15.0,27.0,14.0,15.0,79.0,Breath
15.0,26.0,14.0,14.0,74.0,Breath
15.0,26.0,13.0,13.0,69.0,Breath
14.0,25.0,13.0,12.0,65.0,Breath
14.0,25.0,13.0,16.0,64.0,Breath
14.0,25.0,13.0,22.0,76.0,Breath
14.0,25.0,13.0,23.0,88.0,Breath
14.0,25.0,13.0,21.0,96.0,Breath
14.0,25.0,13.0,18.0,99.0,Breath
15.0,25.0,13.0,16.0,98.0,Breath
15.0,26.0,13.0,15.0,93.0,Breath
15.0,26.0,14.0,14.0,88.0,Breath
15.0,26.0,13.0,13.0,82.0,Breath
15.0,25.0,13.0,15.0,78.0,Breath
15.0,25.0,13.0,19.0,82.0,Breath
15.0,25.0,13.0,22.0,88.0,Breath
15.0,25.0,13.0,23.0,94.0,Breath
15.0,25.0,13.0,23.0,101.0,Breath
15.0,25.0,13.0,22.0,106.0,Breath
16.0,25.0,13.0,19.0,108.0,Breath
16.0,25.0,13.0,17.0,101.0,Breath
16.0,25.0,13.0,15.0,93.0,Breath
16.0,25.0,13.0,13.0,86.0,Breath
16.0,24.0,12.0,13.0,80.0,Breath
15.0,24.0,12.0,13.0,79.0,Breath
16.0,24.0,12.0,15.0,84.0,Breath
16.0,25.0,13.0,16.0,90.0,Breath
16.0,25.0,13.0,14.0,89.0,Breath
17.0,25.0,13.0,14.0,85.0,Breath
17.0,25.0,13.0,14.0,82.0,Breath
17.0,25.0,13.0,15.0,80.0,Breath
17.0,25.0,13.0,14.0,77.0,Breath
17.0,25.0,13.0,13.0,73.0,Breath
16.0,25.0,13.0,12.0,69.0,Breath
17.0,25.0,13.0,12.0,66.0,Breath
16.0,26.0,13.0,12.0,63.0,Breath
16.0,26.0,14.0,11.0,61.0,Breath
16.0,28.0,14.0,12.0,60.0,Breath
16.0,29.0,15.0,16.0,69.0,Breath
16.0,30.0,16.0,18.0,81.0,Breath
